date,close,volume,open,high,low
2014/05/12,159.88,4259733,154.67,160.17,154.07
2014/05/09,152.85,2451547,151,153.23,148.52
2014/05/08,150.38,3690398,151.14,154.59,149.31
2014/05/07,151.27,6173381,157.03,157.5,148.442
2014/05/06,157.83,2695497,159.73,162.81,157.73
2014/05/05,159.73,2158354,158.23,159.85,156.57
2014/05/02,159.91,2892383,159.66,161.4,158.21
2014/05/01,158.69,4036829,154.59,160.22,153.51
2014/04/30,153.85,4167749,153.35,154.9895,150.4
2014/04/29,155.15,5144702,150.805,156.9899,150.02
2014/04/28,150.93,10001340,162.61,162.99,148.16
2014/04/25,162.91,9462828,164.32,167.36,159.2844
2014/04/24,159.74,6590565,161.62,161.67,154.58
2014/04/23,159.34,2965994,162.25,162.68,158.44
